"Country","Year","GDP_sum"
Kazakhstan,2021,123.0
Kenya,2015,36.471
Kenya,2016,52.266999999999996
Kenya,2017,56.047946214675896
Kenya,2018,49.3
Kenya,2019,51.2
Kenya,2020,47.6413399
Kenya,2021,60.300000000000004
Kosovo,2015,80.148
Kosovo,2016,90.145
Kosovo,2017,95.14843821525571
Kosovo,2018,85.5
Kosovo,2019,88.19999999999999
Kosovo,2020,84.0481341
Kosovo,2021,93.7
Kuwait,2015,155.42199999999997
Kuwait,2016,161.71400000000003
Kuwait,2017,163.295245170593
Kuwait,2018,147.4
Kuwait,2019,150.0
Kuwait,2020,142.4833655
Kuwait,2021,146.1
Kyrgyzstan,2015,47.428
Kyrgyzstan,2016,56.044000000000004
Kyrgyzstan,2017,59.622007608413696
Kyrgyzstan,2018,52.99999999999999
Kyrgyzstan,2019,55.099999999999994
Kyrgyzstan,2020,51.3180971
Kyrgyzstan,2021,66.5
Laos,2015,59.06599999999999
Laos,2016,68.042
Laos,2018,72.0
Laos,2019,76.4
Laos,2020,71.4693844
Laos,2021,80.80000000000003
Latvia,2015,111.31200000000001
Latvia,2016,121.788
Latvia,2017,126.074862480164
Latvia,2018,114.80000000000001
Latvia,2019,118.7
Latvia,2020,114.13954500000003
Latvia,2021,128.5
Lebanon,2015,102.564
Lebanon,2016,112.26799999999999
Lebanon,2017,107.49875307083103
Lebanon,2018,96.5
Lebanon,2019,98.69999999999997
Lebanon,2020,88.9232516
Lebanon,2021,104.5
Lesotho,2015,37.545
Lesotho,2017,52.10212469100949
Lesotho,2018,47.199999999999996
Lesotho,2019,48.89999999999999
Lesotho,2020,45.49387399999999
Lesotho,2021,45.099999999999994
Liberia,2015,7.12
Liberia,2016,10.706
Liberia,2017,11.904179304838198
Liberia,2018,7.6
Liberia,2019,7.299999999999999
Liberia,2020,17.4103007
Liberia,2021,22.8
Libya,2015,113.14500000000001
Libya,2016,106.688
Libya,2017,110.180306434631
Libya,2018,98.5
Libya,2019,104.4
Libya,2020,102.19137670000002
Libya,2021,104.4
Lithuania,2015,114.723
Lithuania,2016,126.92000000000002
Lithuania,2017,131.45823478698696
Lithuania,2018,119.7
Lithuania,2019,123.8
Lithuania,2020,119.3559647
Lithuania,2021,135.0
Luxembourg,2015,156.391
Luxembourg,2016,169.75199999999995
Luxembourg,2017,174.194359779358
Luxembourg,2018,157.6
Luxembourg,2019,160.9
Luxembourg,2020,153.6676049
Luxembourg,2021,175.09999999999997
Macedonia,2015,91.851
Macedonia,2016,101.93
Macedonia,2017,106.457793712616
Macedonia,2018,95.89999999999998
Macedonia,2020,93.5371995
Madagascar,2015,20.824
Madagascar,2016,27.954
Madagascar,2017,30.580869317054702
Madagascar,2018,26.200000000000006
Madagascar,2019,27.400000000000006
Madagascar,2020,24.4553208
Madagascar,2021,26.6
Malawi,2015,1.6039999999999999
Malawi,2016,8.709
Malawi,2017,23.344203829765302
Malawi,2018,18.6
Malawi,2019,19.1
Malawi,2020,17.653472700000002
