"Country","Year","Avg_score"
Serbia,2020,5.77820015
Serbia,2021,6.078000000000002
Sierra Leone,2015,4.507
Sierra Leone,2016,4.634999999999999
Sierra Leone,2017,4.70900011062622
Sierra Leone,2018,4.571
Sierra Leone,2019,4.374
Sierra Leone,2020,3.926399946
Sierra Leone,2021,3.849
Singapore,2015,6.798
Singapore,2016,6.738999999999999
Singapore,2017,6.572000026702879
Singapore,2018,6.343000000000002
Singapore,2019,6.262
Singapore,2020,6.377099991
Singapore,2021,6.377
Slovakia,2015,5.995000000000001
Slovakia,2016,6.078000000000001
Slovakia,2017,6.098000049591059
Slovakia,2018,6.172999999999999
Slovakia,2019,6.198
Slovakia,2020,6.280600071
Slovakia,2021,6.331000000000001
Slovenia,2015,5.848
Slovenia,2016,5.768
Slovenia,2017,5.75799989700317
Slovenia,2018,5.947999999999999
Slovenia,2019,6.118000000000001
Slovenia,2020,6.363399981999999
Slovenia,2021,6.461
Somalia,2016,5.44
Somalia,2017,5.151000022888181
Somalia,2018,4.982
Somalia,2019,4.668
Somaliland Region,2016,5.057
Somaliland region,2015,5.057
South Africa,2015,4.642
South Africa,2016,4.459
South Africa,2017,4.8289999961853
South Africa,2018,4.724
South Africa,2019,4.722
South Africa,2020,4.814099789
South Africa,2021,4.956
South Korea,2015,4.488000000000001
South Korea,2016,5.834999999999999
South Korea,2017,5.83799982070923
South Korea,2018,5.875000000000001
South Korea,2019,5.895
South Korea,2020,5.872399807000001
South Korea,2021,5.845
South Sudan,2016,3.832
South Sudan,2017,3.5910000801086395
South Sudan,2018,3.254
South Sudan,2019,2.8529999999999998
South Sudan,2020,2.816600084
Spain,2015,6.328999999999999
Spain,2016,6.361
Spain,2017,6.40299987792969
Spain,2018,6.3100000000000005
Spain,2019,6.354000000000001
Spain,2020,6.400899886999999
Spain,2021,6.490999999999999
Sri Lanka,2015,4.271
Sri Lanka,2016,4.414999999999999
Sri Lanka,2017,4.440000057220461
Sri Lanka,2018,4.471
Sri Lanka,2019,4.366
Sri Lanka,2020,4.327000141
Sri Lanka,2021,4.325
Sudan,2015,4.55
Sudan,2016,4.139
Sudan,2017,4.13899993896484
Sudan,2018,4.139000000000001
Suriname,2015,6.269
Suriname,2016,6.269
Swaziland,2015,4.867
Swaziland,2019,4.211999999999999
Swaziland,2020,4.308100224000001
Swaziland,2021,4.308
Sweden,2015,7.364
Sweden,2016,7.2909999999999995
Sweden,2017,7.28399991989136
Sweden,2018,7.314
Sweden,2019,7.342999999999999
Sweden,2020,7.353499888999999
Sweden,2021,7.363
Switzerland,2015,7.587
Switzerland,2016,7.509
Switzerland,2017,7.49399995803833
Switzerland,2018,7.487
Switzerland,2019,7.48
Switzerland,2020,7.559899806999999
Switzerland,2021,7.571
Syria,2015,3.0060000000000002
Syria,2016,3.069
Syria,2017,3.4619998931884797
Syria,2018,3.462
Syria,2019,3.4620000000000006
Taiwan,2015,6.297999999999999
Taiwan,2016,6.379000000000001
Taiwan,2018,6.441
